Category,Name,Description,Price,Options,Image
Appetizers,Soup of the Day,,,Cup  5 | Bowl  6,/Menu/Menu_Images/Soup.jpg
Appetizers,Onion Rings,Fried and Served with Chocolate or Dipping Sauce,12,,
Appetizers,Loaded Fries,"With cheese, tomatoes, bacon and onions",13,,
Appetizers,Broasted wings,With choice of dipping sauce,,6pc  14 | 12pc  24,
Appetizers,Mozzarella Sticks,6pc served with Ranch or Marinara,11,,
Appetizers,Poutine,,12,,
Fresh Salads,Add to salad,"Chicken, Shrimp, or Steak",7,,
Fresh Salads,Garden Salad,"Tomatoes, Cucumbers, Onions and Peppers",12,,
Fresh Salads,Caesar Salad,Bacon and Croutons,13,,
Fresh Salads,Greek Salad,"Feta, Tomatoes, Olives, Cucumbers, Hot Peppers, Beets and Onions",14,,
Fresh Salads,Greek Chicken Salad,,18,,
Fresh Salads,Crispy Chicken Salad,"Tender Fried Chicken, Peppers, Cheese, Croutons, Tomatoes, Cucumbers, Onions, Olives and Bacon",17,,
Fresh Salads,Side Salad,"Tomatoes, Cucumbers, Onions and Peppers (No Pita)",7,,
Diner Plates,Old School Hot Dogs(2),,13,,
Diner Plates,Cheddar Bacon Dogs(2),,14,,
Diner Plates,Liver and Onions (2pc),,18,,
Diner Plates,Perogies,,16,,
Diner Plates,Home style Meatloaf,,18,,
Diner Plates,Roast Beef Dinner,,19,,
Diner Plates,Smothered Steak,,21,,
Diner Plates,Smothered Veal,,20,,
Diner Plates,Chicken Fried Chicken,,17,,
Diner Plates,Chicken Finger Diner,,18,,
Diner Plates,Grilled Chicken Diner,,20,,
Diner Plates,BBQ Ribs,,,Half Slab  19 | Full Slab  26,
Diner Plates,Ribs & More,,23,,
Pastas,Fettucini Alfredo,,17,,
Pastas,Chicken or Veal Alfredo Parmesan,,20,,
Pastas,Baked Mac and Cheese,,17,,
Pastas,Baked Chicken Alfredo,,20,,
Broasted Chicken,Broasted Chicken Dinner,,,2pc  14 | 3pc  16 | 4pc  17,
Broasted Chicken,Broasted 5 Piece Wing Dinner,,17,,
Broasted Chicken,Broasted Chicken Only (Mixed),,,6pc  18 | 10pc  27 | 15pc  37 | 20pc  47,
Broasted Chicken,Family Dinners,,,6pc  29 | 10pc  40 | 15pc  56 | 20pc  70,
Seafood,Alaskan Fish,,17,,
Seafood,Halibut Dinner,,22,,
Seafood,Jumbo Grilled or Fried Shrimp,,20,,
Sandwiches,Grilled Cheese,,12,,
Sandwiches,Western,,14,,
Sandwiches,The B.L.T,,13,,
Sandwiches,Hot Meatloaf,,16,,
Sandwiches,Hot Turkey,,16,,
Sandwiches,Hot Roast Beef,,17,,
Sandwiches,Hot hamburger,,16,,
Sandwiches,Turkey Club,,16,,
Sandwiches,Reuben,,16,,
Burgers & Melts,Grumpy Burger,,16,,
Burgers & Melts,Dopey Burger,,16,,
Burgers & Melts,Original Burger,,15,,
Burgers & Melts,HiHo Burger,,16,,
Burgers & Melts,Mushroom and Swiss,,16,,
Burgers & Melts,Pizza Burger,,16,,
Burgers & Melts,Patty Melt,,16,,
Wraps,Chicken Caesar Wrap,,16,,
Wraps,Club Wrap,,16,,
Wraps,Crispy Chicken Wrap,,16,,
Pitas,Veggie Pita,,14,,
Pitas,Chicken Supreme Pita,,16,,
Pitas,Pamli Delight,,16,,
Pitas,Chicken Pita Club,,16,,
Pitas,Greek Chicken Pita,,16,,
Pitas,Greek Steak Pita,,17,,
Breakfast,HiHo Classic Breakfast,,15,,
Breakfast,Dinner Breakfast,,12,,
Breakfast,Eggs Benedict,,15,,
Breakfast,Steak and Eggs,,17,,
Breakfast,Combo Breakfast,,15,,
Breakfast,2 Eggs,,10,,
Breakfast,"2 Eggs, Meat and Toast",,10,,
Breakfast,2 Eggs and Toast,,8,,
Breakfast,Pancakes or French Toast,,,Half Order (2PC)  8 | Full Order (3PC)  11 ,
Breakfast,Cheese Omelette,,13,,
Breakfast,Veggie Omelette,,14,,
Breakfast,Classic Omelette,,14.5,,
Breakfast,Western Omelette,,14.5,,
Breakfast,Bacon Swiss Mushroom Omelette,,14.5,,
Breakfast,Greek Omelette,,14.5,,
Breakfast,Piggy Omelette,,14.5,,
Breakfast,Spinach Omelette,,14.5,,
Breakfast,Western Skillet,,15,,
Breakfast,Greek Skillet,,15,,
Breakfast,Corned Beef Skillet,,15,,
Breakfast,Piggy Skillet,,16,,
Desserts,Scoop of Ice Cream,,4,,
Desserts,Ice Cream Sunday,,5.5,,
Desserts,Apple or Cherry Pie,,6,,
Desserts,Hot Southern Pecan Pie,,6,,
Desserts,Lava Cake,,7,,
